tissue_id	tissue_name	primary_tissue_id	primary_tissue_name
adipose_subcutaneous	Adipose - Subcutaneous	adipose_tissue	Adipose Tissue
adipose_visceral_omentum	Adipose - Visceral (Omentum)	adipose_tissue	Adipose Tissue
adrenal_gland	Adrenal Gland	adrenal_gland	Adrenal Gland
artery_aorta	Artery - Aorta	blood_vessel	Blood Vessel
artery_coronary	Artery - Coronary	blood_vessel	Blood Vessel
artery_tibial	Artery - Tibial	blood_vessel	Blood Vessel
bladder	Bladder	bladder	Bladder
brain_amygdala	Brain - Amygdala	brain	Brain
brain_anterior_cingulate_cortex_ba24	Brain - Anterior cingulate cortex (BA24)	brain	Brain
brain_caudate_basal_ganglia	Brain - Caudate (basal ganglia)	brain	Brain
brain_cerebellar_hemisphere	Brain - Cerebellar Hemisphere	brain	Brain
brain_cerebellum	Brain - Cerebellum	brain	Brain
brain_cortex	Brain - Cortex	brain	Brain
brain_frontal_cortex_ba9	Brain - Frontal Cortex (BA9)	brain	Brain
brain_hippocampus	Brain - Hippocampus	brain	Brain
brain_hypothalamus	Brain - Hypothalamus	brain	Brain
brain_nucleus_accumbens_basal_ganglia	Brain - Nucleus accumbens (basal ganglia)	brain	Brain
brain_putamen_basal_ganglia	Brain - Putamen (basal ganglia)	brain	Brain
brain_spinal_cord_cervical_c_1	Brain - Spinal cord (cervical c-1)	brain	Brain
brain_substantia_nigra	Brain - Substantia nigra	brain	Brain
breast_mammary_tissue	Breast - Mammary Tissue	breast	Breast
cells_cultured_fibroblasts	Cells - Cultured fibroblasts	skin	Skin
cells_ebv_transformed_lymphocytes	Cells - EBV-transformed lymphocytes	blood	Blood
cervix_ectocervix	Cervix - Ectocervix	cervix_uteri	Cervix Uteri
cervix_endocervix	Cervix - Endocervix	cervix_uteri	Cervix Uteri
colon_sigmoid	Colon - Sigmoid	colon	Colon
colon_transverse	Colon - Transverse	colon	Colon
esophagus_gastroesophageal_junction	Esophagus - Gastroesophageal Junction	esophagus	Esophagus
esophagus_mucosa	Esophagus - Mucosa	esophagus	Esophagus
esophagus_muscularis	Esophagus - Muscularis	esophagus	Esophagus
fallopian_tube	Fallopian Tube	fallopian_tube	Fallopian Tube
heart_atrial_appendage	Heart - Atrial Appendage	heart	Heart
heart_left_ventricle	Heart - Left Ventricle	heart	Heart
kidney_cortex	Kidney - Cortex	kidney	Kidney
kidney_medulla	Kidney - Medulla	kidney	Kidney
liver	Liver	liver	Liver
lung	Lung	lung	Lung
minor_salivary_gland	Minor Salivary Gland	salivary_gland	Salivary Gland
muscle_skeletal	Muscle - Skeletal	muscle	Muscle
nerve_tibial	Nerve - Tibial	nerve	Nerve
ovary	Ovary	ovary	Ovary
pancreas	Pancreas	pancreas	Pancreas
pituitary	Pituitary	pituitary	Pituitary
prostate	Prostate	prostate	Prostate
skin_not_sun_exposed_suprapubic	Skin - Not Sun Exposed (Suprapubic)	skin	Skin
skin_sun_exposed_lower_leg	Skin - Sun Exposed (Lower leg)	skin	Skin
small_intestine_terminal_ileum	Small Intestine - Terminal Ileum	small_intestine	Small Intestine
spleen	Spleen	spleen	Spleen
stomach	Stomach	stomach	Stomach
testis	Testis	testis	Testis
thyroid	Thyroid	thyroid	Thyroid
uterus	Uterus	uterus	Uterus
vagina	Vagina	vagina	Vagina
whole_blood	Whole Blood	blood	Blood
